exp,targeted,sigma,acc,100,200,300,400,500,1000
1,1,0,76.15,35.2,42.2,42.2,43.8,46.1,46.9
1,1,0.01,76.05,22.7,26.6,35.9,39.1,39.8,46.9
1,1,0.02,75.25,26.6,32.8,43.8,48.4,49.2,51.6
1,1,0.03,74.45,19.5,21.1,25.8,28.1,32.8,40.6
1,1,0.04,71.56,21.9,25,28.1,28.9,33.6,39.8
1,1,0.05,63.87,21.1,28.9,34.4,39.8,42.2,48.4
1,1,0.06,53.39,29.7,32,37.5,39.1,43,49.2
1,1,0.07,42.81,29.7,34.4,35.2,35.2,36.7,41.4
1,1,0.08,32.53,29.7,32,32,34.4,38.3,48.4
1,1,0.09,27.15,18,21.1,22.7,23.4,24.2,26.6
1,0,0,76.15,70.3,78.1,78.1,85.9,86.7,100
1,0,0.01,76.05,66.4,75,76.6,85.9,85.9,100
1,0,0.02,75.25,75,79.7,80.5,87.5,87.5,100
1,0,0.03,74.45,79.7,88.3,92.2,94.5,100,100
1,0,0.04,71.56,84.4,92.2,93,94.5,100,100
1,0,0.05,63.87,96.1,100,100,100,100,100
1,0,0.06,53.39,95.3,100,100,100,100,100
1,0,0.07,42.81,93,98.4,100,100,100,100
1,0,0.08,32.53,96.9,100,100,100,100,100
1,0,0.09,27.15,93,94.5,100,100,100,100
2,1,0,73.65,7,12.5,16.4,17.2,18,22.7
2,1,0.01,73.95,4.7,7,10.2,11.7,13.3,23.4
2,1,0.02,73.45,3.9,6.2,9.4,12.5,15.6,21.1
2,1,0.03,73.95,1.6,1.6,3.1,3.9,6.2,18.8
2,1,0.04,73.95,1.6,1.6,3.1,5.5,5.5,12.5
2,1,0.05,73.45,4.7,5.5,7,7.8,8.6,14.1
2,1,0.06,73.65,2.3,4.7,6.2,6.2,7,11.7
2,1,0.07,73.45,3.9,3.9,3.9,6.2,6.2,7.8
2,1,0.08,73.15,3.1,6.2,7.8,8.6,8.6,12.5
2,1,0.09,73.65,6.2,6.2,6.2,6.2,6.2,11.7
2,0,0,73.65,25.8,28.9,34.4,37.5,40.6,50
2,0,0.01,73.95,22.7,25,31.2,33.6,38.3,49.2
2,0,0.02,73.45,20.3,23.4,32.8,36.7,38.3,46.9
2,0,0.03,73.95,22.7,25.8,32.8,35.2,41.4,50.8
2,0,0.04,73.95,20.3,21.9,30.5,32.8,38.3,52.3
2,0,0.05,73.45,21.9,24.2,30.5,34.4,36.7,51.6
2,0,0.06,73.65,23.4,27.3,32.8,34.4,38.3,50.8
2,0,0.07,73.45,26.6,26.6,30.5,32,33.6,45.3
2,0,0.08,73.15,28.1,28.9,33.6,34.4,35.9,49.2
2,0,0.09,73.65,28.1,32,32.8,37.5,40.6,53.1
3,1,0,75.15,3.9,7.8,11.7,13.3,14.8,16.4
3,1,0.01,75.35,4.7,4.7,11.7,14.1,14.8,21.1
3,1,0.02,74.75,1.6,3.1,8.6,13.3,15.6,21.9
3,1,0.03,74.85,1.6,3.1,3.9,6.2,8.6,15.6
3,1,0.04,74.15,3.1,3.1,3.1,7.8,8.6,13.3
3,1,0.05,74.55,0.8,1.6,2.3,2.3,3.9,9.4
3,1,0.06,74.45,1.6,2.3,4.7,4.7,6.2,10.2
3,1,0.07,74.95,4.7,6.2,7,8.6,9.4,10.9
3,1,0.08,74.75,3.9,5.5,7,7,8.6,12.5
3,1,0.09,74.05,3.9,4.7,4.7,4.7,5.5,7
3,0,0,75.15,19.5,21.1,31.2,32.8,38.3,53.9
3,0,0.01,75.35,20.3,22.7,33.6,35.2,41.4,56.2
3,0,0.02,74.75,21.1,23.4,34.4,36.7,43,58.6
3,0,0.03,74.85,18,23.4,32.8,33.6,39.1,56.2
3,0,0.04,74.15,21.1,26.6,32.8,33.6,39.8,58.6
3,0,0.05,74.55,18,19.5,27.3,30.5,35.2,52.3
3,0,0.06,74.45,23.4,25.8,33.6,35.9,42.2,57.8
3,0,0.07,74.95,21.1,25,29.7,33.6,38.3,59.4
3,0,0.08,74.75,24.2,28.9,35.9,39.8,42.2,57
3,0,0.09,74.05,29.7,33.6,39.1,41.4,42.2,55.5
5,1,0,74.25,0.8,1.6,2.3,2.3,3.9,9.4
5,1,0.01,74.05,4.7,4.7,5.5,5.5,5.5,7
5,1,0.02,75.25,3.1,3.9,4.7,5.5,5.5,7
5,1,0.03,74.75,3.1,3.9,3.9,4.7,4.7,6.2
5,1,0.04,74.35,3.1,3.9,3.9,4.7,4.7,6.2
5,1,0.05,75.45,3.1,3.9,3.9,4.7,4.7,6.2
5,1,0.06,75.25,2.3,3.1,3.1,3.9,3.9,6.2
5,1,0.07,74.95,2.3,3.1,3.1,3.9,3.9,6.2
5,1,0.08,74.75,3.9,4.7,4.7,5.5,5.5,6.2
5,1,0.09,74.05,3.9,4.7,4.7,5.5,5.5,6.2
5,0,0,74.25,18,19.5,27.3,30.5,35.2,52.3
5,0,0.01,74.05,16.4,18.8,24.2,25,32,48.4
5,0,0.02,75.25,14.8,18,22.7,23.4,29.7,49.2
5,0,0.03,74.75,14.8,17.2,21.9,24.2,26.6,45.3
5,0,0.04,74.35,14.8,17.2,21.9,24.2,26.6,45.3
5,0,0.05,75.45,14.8,18.8,24.2,24.2,29.7,48.4
5,0,0.06,75.25,14.8,17.2,21.9,24.2,25.8,46.9
5,0,0.07,74.95,14.8,18.8,24.2,24.2,28.9,45.3
5,0,0.08,74.75,14.8,18.8,24.2,24.2,28.1,44.5
5,0,0.09,74.05,14.8,18.8,24.2,24.2,28.1,44.5
